state_id,x,y,visits,method_count,methods,color,category,marker
49,0.2861970155607923,0.28973279492038273,11,2,QMIX;VDN,#dbdbdb,baseline_shared,o
70,-1.6165641208521648,-1.1361428781817156,11,3,MAT;QMIX;VDN,#c3c3c3,baseline_shared,o
121,0.17014863857512094,0.8393653795041132,11,2,QMIX;VDN,#dbdbdb,baseline_shared,o
151,5.505676101513844,3.4599018109248822,11,2,MAT;QMIX,#dbdbdb,baseline_shared,o
168,2.3678373053850903,0.8762144451236431,11,3,MAT;QMIX;RMAPPO,#c3c3c3,baseline_shared,o
185,-3.7168017708120655,-2.370678903345751,11,2,MAT;QMIX,#dbdbdb,baseline_shared,o
229,3.3234475721086625,2.861749486640911,11,3,MAPPO;QMIX;VDN,#c3c3c3,baseline_shared,o
449,-3.917121473504333,-2.8471212894434608,11,1,VDN,#D62728,baseline_unique,o
564,3.3715528378930895,-1.678910654820335,11,2,ETG-only;MAPPO,#dbdbdb,cross_shared,D
632,3.390299783865765,-1.8422124503925674,11,2,RMAPPO;Synergy,#dbdbdb,cross_shared,D
675,0.4041350261703926,-1.1806632796076255,11,1,ETG-only,#8DB7E8,calp_unique,^
676,-1.3396986521587315,-2.705208222658165,11,1,ETG-only,#8DB7E8,calp_unique,^
682,0.6867105561503059,-0.9912696524780582,11,2,ETG-only;Synergy,#dbdbdb,calp_shared,^
703,4.047438474015708,2.634284101609665,11,2,ETG-only;Synergy,#dbdbdb,calp_shared,^
707,3.0724541943326003,-0.710770704455584,11,2,ETG-only;Synergy,#dbdbdb,calp_shared,^
710,3.4169157350854804,0.5113834801398969,11,2,ETG-only;Synergy,#dbdbdb,calp_shared,^
38,-1.81430708275472,0.005660061470086579,10,2,QMIX;VDN,#dbdbdb,baseline_shared,o
102,1.3603130354873525,4.67323799559864,10,3,QMIX;QTRAN;VDN,#c3c3c3,baseline_shared,o
104,-3.8829412341922116,-2.9383193854671585,10,2,QMIX;VDN,#dbdbdb,baseline_shared,o
119,-2.0366007898088085,-0.8794590765020737,10,1,QMIX,#F28E2B,baseline_unique,o
125,0.4287794774749294,1.3827277746720765,10,2,MAT;QMIX,#dbdbdb,baseline_shared,o
131,-1.4568907853218858,0.4557419769144828,10,2,QMIX;VDN,#dbdbdb,baseline_shared,o
227,-1.666432452280268,1.7726179587937654,10,2,QMIX;QTRAN,#dbdbdb,baseline_shared,o
238,0.5466218632576201,1.277675929992809,10,2,QMIX;VDN,#dbdbdb,baseline_shared,o
266,0.6991639639567563,0.9336748068372571,10,2,MAT;QMIX,#dbdbdb,baseline_shared,o
311,-1.8101626718677077,-1.4782258685650282,10,1,QTRAN,#9467BD,baseline_unique,o
352,-3.6077608371797503,-2.427875757403019,10,2,QTRAN;VDN,#dbdbdb,baseline_shared,o
484,0.23026756910261423,1.0089930423776783,10,2,MAT;VDN,#dbdbdb,baseline_shared,o
765,0.902844403965011,-1.8564010106190296,10,1,Synergy,#1F5A9D,calp_unique,^
35,-4.001429821015575,-1.880200175938337,9,1,QMIX,#F28E2B,baseline_unique,o
52,-4.176878246178063,-2.7567429266566226,9,1,QMIX,#F28E2B,baseline_unique,o
86,-3.1093074195098604,-2.6037045956673803,9,2,QMIX;VDN,#dbdbdb,baseline_shared,o
89,0.6448824243035052,0.294045778512772,9,2,QMIX;QTRAN,#dbdbdb,baseline_shared,o
107,-1.485382124593071,0.9652462253659062,9,3,QMIX;QTRAN;VDN,#c3c3c3,baseline_shared,o
143,3.3628047646515835,2.3355924545450915,9,2,QMIX;Synergy,#dbdbdb,cross_shared,D
148,1.0576567914073267,4.497922324437085,9,3,QMIX;QTRAN;VDN,#c3c3c3,baseline_shared,o
176,-1.8266594051095302,-0.044765768493124275,9,2,QMIX;VDN,#dbdbdb,baseline_shared,o
214,-1.7745659318872609,0.2377219352566635,9,2,MAT;QMIX,#dbdbdb,baseline_shared,o
296,0.10089800126747973,1.5867666023269482,9,3,MAT;QMIX;VDN,#c3c3c3,baseline_shared,o
310,0.4474506827824643,0.7083820058609932,9,2,QMIX;RMAPPO,#dbdbdb,baseline_shared,o
316,1.2246120647636103,3.517450929945538,9,1,QTRAN,#9467BD,baseline_unique,o
319,-3.206746217695382,-3.7827967617993568,9,2,QTRAN;VDN,#dbdbdb,baseline_shared,o
331,-2.070208269876588,0.13511287420076673,9,1,QTRAN,#9467BD,baseline_unique,o
335,-1.7127070162560973,-0.3189004714225152,9,2,QTRAN;VDN,#dbdbdb,baseline_shared,o
