source,target,transition_count,state_distance,methods,category
546,317,8,0.9470970869120796,,baseline
546,563,7,2.5314720869120793,MAPPO,baseline
546,542,2,2.6087775071574923,,baseline
546,229,1,1.7554304202454125,,baseline
546,616,11,2.4468749999999995,RMAPPO,baseline
546,144,1,3.297438562148434,,baseline
546,661,1,2.4304991881391445,ETG-only,calp
546,703,1,1.0648054202454131,ETG-only,calp
32,31,8,2.1958333333333333,,baseline
32,68,1,2.6721825445422818,QMIX,baseline
32,19,3,2.557360434560398,,baseline
32,117,6,2.5480021242968682,QMIX;QTRAN,baseline
32,269,1,3.544791666666667,QMIX,baseline
32,286,1,2.2425630955976237,QMIX,baseline
32,298,1,2.495297179899887,QMIX,baseline
32,229,2,2.4055158778756147,QMIX;VDN,baseline
32,318,2,4.485502124296868,QTRAN,baseline
32,317,16,3.4596264978692433,QTRAN,baseline
32,344,2,3.429006858733609,QTRAN,baseline
32,92,1,2.8153109334786333,QTRAN,baseline
32,316,2,4.459626497869243,QTRAN,baseline
32,330,1,3.0583333333333336,QTRAN,baseline
32,228,1,4.440932544542282,QTRAN,baseline
20,19,3,1.3333333333333333,,baseline
20,21,38,2.1489583333333333,MAT;QMIX;QTRAN;VDN,baseline
20,51,8,1.3802083333333333,MAT;QMIX;VDN,baseline
20,123,1,3.4764939217734643,QMIX,baseline
20,146,1,0.7160772551067975,QMIX,baseline
20,59,4,0.8410772551067976,QMIX,baseline
20,208,1,0.8098272551067975,QMIX,baseline
20,68,1,2.1645833333333333,QMIX,baseline
20,31,1,1.7682718954817676,QTRAN,baseline
20,58,11,1.9077439217734644,QTRAN,baseline
20,275,3,0.9581735254002758,QTRAN,baseline
20,334,1,4.282291666666667,QTRAN,baseline
20,230,13,2.878125,QTRAN,baseline
20,317,1,2.144313562148434,QTRAN,baseline
20,290,1,2.590368982393847,QTRAN,baseline
20,316,2,3.2109802288151004,QTRAN,baseline
20,276,2,2.9106681645359096,QTRAN;VDN,baseline
20,229,1,2.1645833333333333,VDN,baseline
20,256,2,0.8746933619633036,VDN,baseline
20,148,2,1.7489583333333334,VDN,baseline
20,202,1,3.0583333333333336,VDN,baseline
20,60,1,1.725,VDN,baseline
20,150,4,0.8697916666666667,VDN,baseline
20,102,2,1.6267079274029055,VDN,baseline
20,101,1,3.6174523157271805,VDN,baseline
20,529,1,2.7192629417178904,VDN,baseline
20,151,2,3.1052083333333336,MAT,baseline
20,485,1,5.464805420245414,MAT,baseline
20,591,1,2.2887637535787464,MAT,baseline
20,213,2,2.649180420245413,MAT,baseline
11,19,3,2.731090192066943,MAT;QMIX,baseline
11,74,3,2.604841008685544,MAT;QMIX,baseline
11,213,3,2.2666666666666666,MAT;QMIX,baseline
11,68,1,2.571055420245413,QMIX,baseline
11,31,1,2.717230228815101,QMIX,baseline
11,540,1,4.282291666666667,MAT,baseline
11,79,1,3.65334708691208,MAT,baseline
11,40,1,3.482291666666667,MAT,baseline
613,178,11,1.427083333333333,,baseline
613,619,4,1.3703046083845571,RMAPPO,baseline
613,543,3,0.8655404488753831,,baseline
613,643,1,1.69375,ETG-only,calp
613,657,1,2.179457521472478,ETG-only,calp
613,804,1,0.7999999999999999,Synergy,calp
315,314,26,1.8666666666666665,,baseline
315,211,35,1.0151468954817677,,baseline
315,334,2,0.8590683619633036,QTRAN,baseline
315,342,12,2.3356387535787464,QTRAN,baseline
315,359,1,0.5802083333333334,QTRAN,baseline
315,89,2,0.9794575214724774,,baseline
315,387,2,1.3794575214724774,QTRAN,baseline
315,393,1,1.6966877502875781,QTRAN,baseline
317,316,1,1.0666666666666667,,baseline
317,230,2,4.605295072012458,,baseline
317,211,11,2.599521895481767,,baseline
317,330,5,0.909375,MAPPO;QTRAN,baseline
317,318,1,1.1916666666666667,QTRAN,baseline
317,345,1,1.646875,QTRAN,baseline
317,329,1,4.266666666666667,QTRAN,baseline
317,549,9,1.9378775934849355,MAPPO,baseline
317,553,5,2.2270833333333333,MAPPO,baseline
317,554,7,2.548958333333333,MAPPO,baseline
317,545,1,2.2804304202454126,MAPPO,baseline
317,542,7,2.7386284053457914,MAPPO,baseline
