scenario,state_digest,methods,source_relation,frames,episodes,ood_frames,ood_ratio,mean_hp_my,mean_hp_enemy,mean_hp_margin,mean_hp_total,mean_game_progress,median_game_progress,mean_score_conditioned,synergy_frames,synergy_ood_ratio,gate_changed_ratio,gate_validation_ratio,gate_opportunity_ratio,mean_gate_confidence,mean_gate_advantage,mean_gate_candidate_visits,top_action_source,top_tuning_reason
sce-2,80d2ff2568d63910,ETG-only,source_etg_supported,1,1,0,0.0,72.0,15.0,57.0,87.0,0.8571428571428571,0.8571428571428571,66.0,0,,,,,,,,diverge,
sce-2,16b7fa584292cabd,ETG-only,source_etg_supported,1,1,0,0.0,66.0,3.0,63.0,69.0,0.9285714285714286,0.9285714285714286,66.0,0,,,,,,,,diverge,
sce-2,283aec97f81fe0ff,ETG-only,source_etg_supported,1,1,0,0.0,66.0,0.0,66.0,66.0,1.0,1.0,66.0,0,,,,,,,,kg_relaxed,
sce-2,0912337700bfd467,ETG-only,source_etg_supported,1,1,0,0.0,150.0,135.0,15.0,285.0,0.16666666666666666,0.16666666666666666,75.0,0,,,,,,,,diverge,
sce-2,e5891505b93b1ff5,ETG-only,source_etg_supported,1,1,0,0.0,138.0,117.0,21.0,255.0,0.25,0.25,75.0,0,,,,,,,,kg_plan,
sce-2,fae40ec5bda6f127,ETG-only,source_etg_supported,1,1,0,0.0,108.0,72.0,36.0,180.0,0.5,0.5,75.0,0,,,,,,,,diverge,
sce-2,904aead7cd877cff,ETG-only,source_etg_supported,1,1,0,0.0,84.0,33.0,51.0,117.0,0.75,0.75,75.0,0,,,,,,,,kg_relaxed,
sce-2,308a69a13fd00be2,ETG-only,source_etg_supported,1,1,0,0.0,81.0,21.0,60.0,102.0,0.8333333333333334,0.8333333333333334,75.0,0,,,,,,,,kg_plan,
sce-2,3de0c4f1c9e8e213,ETG-only,source_etg_supported,1,1,0,0.0,75.0,3.0,72.0,78.0,0.9166666666666666,0.9166666666666666,75.0,0,,,,,,,,diverge,
sce-2,6be4ffda3d9b4aeb,ETG-only,source_etg_supported,1,1,0,0.0,75.0,0.0,75.0,75.0,1.0,1.0,75.0,0,,,,,,,,kg_relaxed,
sce-2,5440b67f57e17aa8,ETG-only,source_etg_supported,1,1,0,0.0,132.0,135.0,-3.0,267.0,0.18181818181818182,0.18181818181818182,66.0,0,,,,,,,,diverge,
sce-2,602799430a916f63,ETG-only,source_etg_supported,1,1,0,0.0,114.0,111.0,3.0,225.0,0.36363636363636365,0.36363636363636365,66.0,0,,,,,,,,kg_relaxed,
sce-2,fd72df2f4b4c3d58,ETG-only,source_etg_supported,1,1,0,0.0,96.0,90.0,6.0,186.0,0.45454545454545453,0.45454545454545453,66.0,0,,,,,,,,kg_plan,
sce-2,ec936ee3ed35d038,ETG-only,source_etg_supported,1,1,0,0.0,90.0,78.0,12.0,168.0,0.5454545454545454,0.5454545454545454,66.0,0,,,,,,,,kg_follow,
sce-2,d18c81e0d227d5c9,ETG-only,source_etg_supported,1,1,0,0.0,84.0,66.0,18.0,150.0,0.6363636363636364,0.6363636363636364,66.0,0,,,,,,,,kg_plan,
sce-2,0d0630e2cb1bfede,ETG-only,source_etg_supported,1,1,0,0.0,72.0,45.0,27.0,117.0,0.7272727272727273,0.7272727272727273,66.0,0,,,,,,,,kg_plan,
sce-2,4c174d5068765697,ETG-only,source_etg_supported,1,1,0,0.0,72.0,21.0,51.0,93.0,0.8181818181818182,0.8181818181818182,66.0,0,,,,,,,,kg_relaxed,
sce-2,81a2e0a4a0e42ec5,ETG-only,source_etg_supported,1,1,0,0.0,66.0,9.0,57.0,75.0,0.9090909090909091,0.9090909090909091,66.0,0,,,,,,,,kg_relaxed,
sce-2,231b01b1be3ca290,ETG-only,source_etg_supported,1,1,0,0.0,66.0,0.0,66.0,66.0,1.0,1.0,66.0,0,,,,,,,,kg_relaxed,
sce-2,35100f88c551f245,ETG-only,source_etg_supported,1,1,0,0.0,90.0,78.0,12.0,168.0,0.5,0.5,69.0,0,,,,,,,,kg_relaxed,
sce-2,bf28ad51d2160120,ETG-only,source_etg_supported,1,1,0,0.0,72.0,27.0,45.0,99.0,0.75,0.75,69.0,0,,,,,,,,kg_relaxed,
