experiment_id,method_group,map_id,map_key,variant,base_variant_id,base_variant_rank,base_variant_trial,backup_condition,baseline_variant,score_mean,score_delta_vs_multi_step_no_switch,terminal_hp_delta_mean,terminal_hp_delta_delta_vs_multi_step_no_switch,win_rate,win_rate_delta_vs_multi_step_no_switch,loss_count,loss_delta_vs_multi_step_no_switch,path_diverged_rate,path_diverged_out_of_beam_ratio,path_diverged_has_backup_ratio,switch_rate_per_divergence,switch_frames_per_100,candidate_mean_planning_score_gain,candidate_mean_future_reward_gain,decision_elapsed_ms_mean,beam_plan_call_count,beam_plan_calls_per_100_frames,beam_plan_ms_mean,beam_plan_ms_total,beam_plan_ms_per_frame,beam_plan_ms_per_frame_delta_vs_multi_step_no_switch
sce2m_etg_run_0072,ETG-only,MarineMicro_MvsM_4_dist_mirror,sce-2m,rank04_trial0046_ms_fz050,rank04_trial0046,4,46,fixed_pool_multi_step_switch_fuzzy050,rank04_trial0046_ms_ns,33.48,-10.560000000000002,33.48,-10.560000000000002,0.94,-0.06000000000000005,3,3.0,0.24186704384724186,0.8304093567251462,0.1111111111111111,0.0935672514619883,2.263083451202263,-0.011325015332108095,13.993111155358898,0.25913966942150496,594,84.01697312588402,0.9190516835016435,545.9166999999762,0.7721594059405604,-0.11023415629121791
sce2m_etg_run_0072,ETG-only,MarineMicro_MvsM_4_dist_mirror,sce-2m,rank05_trial0069_ms_ns,rank05_trial0069,5,69,fixed_pool_multi_step_no_switch,rank05_trial0069_ms_ns,46.26,0.0,46.26,0.0,1.0,0.0,0,0.0,0.3414285714285714,0.8200836820083682,0.1589958158995816,0.0,0.0,-0.2302325903136875,13.131804420992584,0.24934363636377424,667,95.28571428571429,0.8411601199400537,561.0538000000158,0.8015054285714511,0.0
sce2m_etg_run_0072,ETG-only,MarineMicro_MvsM_4_dist_mirror,sce-2m,rank05_trial0069_ms_ex,rank05_trial0069,5,69,fixed_pool_multi_step_switch_exact,rank05_trial0069_ms_ns,42.6,-3.6599999999999966,42.6,-3.6599999999999966,1.0,0.0,0,0.0,0.25177809388335703,0.7344632768361582,0.2033898305084746,0.1864406779661017,4.694167852062589,-0.2551241262534147,14.816577707409753,0.24936931034497237,621,88.33570412517781,0.7802898550724182,484.5599999999717,0.68927453769555,-0.1122308908759011
sce2m_etg_run_0072,ETG-only,MarineMicro_MvsM_4_dist_mirror,sce-2m,rank05_trial0069_ms_fz020,rank05_trial0069,5,69,fixed_pool_multi_step_switch_fuzzy020,rank05_trial0069_ms_ns,41.46,-4.799999999999997,41.46,-4.799999999999997,1.0,0.0,0,0.0,0.22096317280453256,0.6858974358974359,0.2564102564102564,0.24358974358974358,5.38243626062323,-0.25309993357910315,14.49058213463149,0.2705404181185281,631,89.37677053824362,0.8390426307448764,529.435900000017,0.749909206798891,-0.05159622177256018
sce2m_etg_run_0072,ETG-only,MarineMicro_MvsM_4_dist_mirror,sce-2m,rank05_trial0069_ms_fz050,rank05_trial0069,5,69,fixed_pool_multi_step_switch_fuzzy050,rank05_trial0069_ms_ns,53.46,7.200000000000003,53.46,7.200000000000003,1.0,0.0,0,0.0,0.3776824034334764,0.8295454545454546,0.10984848484848485,0.10984848484848485,4.148783977110157,-0.21124743049280906,12.557405998942915,0.24266450216449945,629,89.9856938483548,0.9131661367249537,574.3814999999959,0.8217188841201658,0.020213455548714676
sce2m_etg_run_0072,ETG-only,MarineMicro_MvsM_4_dist_mirror,sce-2m,rank06_trial0167_ms_ns,rank06_trial0167,6,167,fixed_pool_multi_step_no_switch,rank06_trial0167_ms_ns,42.9,0.0,42.9,0.0,0.98,0.0,1,0.0,0.3347457627118644,0.8185654008438819,0.1350210970464135,0.0,0.0,-0.23334546095048814,13.03021816896985,0.25326678832111416,671,94.77401129943503,0.7824402384502298,525.0174000001042,0.7415500000001471,0.0
sce2m_etg_run_0072,ETG-only,MarineMicro_MvsM_4_dist_mirror,sce-2m,rank06_trial0167_ms_ex,rank06_trial0167,6,167,fixed_pool_multi_step_switch_exact,rank06_trial0167_ms_ns,54.12,11.219999999999999,54.12,11.219999999999999,1.0,0.020000000000000018,0,-1.0,0.33045977011494254,0.8478260869565217,0.11739130434782609,0.11304347826086956,3.735632183908046,-0.22873635232491432,12.99809782265699,0.21433703703696927,625,89.79885057471265,0.7600102399999913,475.0063999999945,0.6824804597701071,-0.059069540230040074
sce2m_etg_run_0072,ETG-only,MarineMicro_MvsM_4_dist_mirror,sce-2m,rank06_trial0167_ms_fz020,rank06_trial0167,6,167,fixed_pool_multi_step_switch_fuzzy020,rank06_trial0167_ms_ns,52.14,9.240000000000002,52.14,9.240000000000002,1.0,0.020000000000000018,0,-1.0,0.32285714285714284,0.8185840707964602,0.13716814159292035,0.13716814159292035,4.428571428571429,-0.2183575338676327,12.702201915939412,0.2488468749998989,630,90.0,0.8743926984126329,550.8673999999587,0.7869534285713696,0.04540342857122248
sce2m_etg_run_0072,ETG-only,MarineMicro_MvsM_4_dist_mirror,sce-2m,rank06_trial0167_ms_fz050,rank06_trial0167,6,167,fixed_pool_multi_step_switch_fuzzy050,rank06_trial0167_ms_ns,51.9,9.0,51.9,9.0,1.0,0.020000000000000018,0,-1.0,0.32285714285714284,0.8185840707964602,0.16371681415929204,0.15486725663716813,5.0,-0.2256797476026708,13.245464705882352,0.2905455357142341,614,87.71428571428571,0.9406493485341282,577.5586999999547,0.8250838571427924,0.08353385714264527
sce2m_etg_run_0072,ETG-only,MarineMicro_MvsM_4_dist_mirror,sce-2m,rank07_trial0097_ms_ns,rank07_trial0097,7,97,fixed_pool_multi_step_no_switch,rank07_trial0097_ms_ns,34.8,0.0,34.8,0.0,1.0,0.0,0,0.0,0.2814710042432815,0.7738693467336684,0.20603015075376885,0.0,0.0,-0.014065851709119311,12.627246126082772,0.3165710526315934,591,83.5926449787836,1.1149531302875575,658.9372999999465,0.9320188118811125,0.0
